"","Date","value","zone","species","metric","creation_date"
"57","2023-05-29",0.037225330222344,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"58","2023-05-29",0.0244101802067779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"59","2023-05-30",0.0413088640060116,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"60","2023-05-30",0.0303281701475522,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"61","2023-05-31",0.0448875162655941,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"62","2023-05-31",0.0399954689536305,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"63","2023-06-01",0.034614498624261,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"64","2023-06-01",0.0355257416515933,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"65","2023-06-02",0.0298710771672508,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"66","2023-06-02",0.0277373917544117,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"67","2023-06-03",0.0749241293186009,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"68","2023-06-03",0.0660055835720658,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"69","2023-06-04",0.073940553510982,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"70","2023-06-04",0.0659862968646929,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"71","2023-06-05",0.0742616334854899,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"72","2023-06-05",0.0741643211766224,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"73","2023-06-06",0.0745909925712294,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"74","2023-06-06",0.0765136342187779,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"75","2023-06-07",0.0774757560967347,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"76","2023-06-07",0.0897994133492904,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"77","2023-06-08",0.0714023598325339,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"78","2023-06-08",0.0710169852218925,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"79","2023-06-09",0.0787256593248733,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"80","2023-06-09",0.0870058815590976,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"81","2023-06-10",0.13274278426907,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"82","2023-06-10",0.123550516728513,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"83","2023-06-11",0.14770060100723,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"84","2023-06-11",0.124711810088367,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"85","2023-06-12",0.133588801456373,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"86","2023-06-12",0.110738350776574,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"87","2023-06-13",0.11108840965815,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"88","2023-06-13",0.126329957335309,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"89","2023-06-14",0.117277373443504,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"90","2023-06-14",0.156040070267507,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"91","2023-06-15",0.125802245979934,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"92","2023-06-15",0.154248289398105,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"93","2023-06-16",0.1366883599978,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"94","2023-06-16",0.136955114932039,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"95","2023-06-17",0.169989721140205,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"96","2023-06-17",0.182722723916319,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"97","2023-06-18",0.164960307241764,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"98","2023-06-18",0.181331619147803,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"99","2023-06-19",0.182331329613248,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"100","2023-06-19",0.176356781054587,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"101","2023-06-20",0.157578283134016,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"102","2023-06-20",0.186077031067614,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"103","2023-06-21",0.159128410250775,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"104","2023-06-21",0.182787329306043,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"105","2023-06-22",0.160045036343766,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"106","2023-06-22",0.186715555842204,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"107","2023-06-23",0.156814261904505,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"108","2023-06-23",0.198048396984118,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"109","2023-06-24",0.194663448111256,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"110","2023-06-24",0.25651845159756,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"111","2023-06-25",0.215814364709965,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"112","2023-06-25",0.264830556199711,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"113","2023-06-26",0.227994367630605,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"114","2023-06-26",0.269917271031393,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"115","2023-06-27",0.228420351301925,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"116","2023-06-27",0.266113035063794,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"117","2023-06-28",0.212779196662756,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"118","2023-06-28",0.235495492761098,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"119","2023-06-29",0.212303288445384,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"120","2023-06-29",0.239558655469878,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"121","2023-06-30",0.216994389318503,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"122","2023-06-30",0.247045727589956,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"123","2023-07-01",0.278780419445241,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"124","2023-07-01",0.318347972636332,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"125","2023-07-02",0.281070205929112,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"126","2023-07-02",0.329351230550393,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"127","2023-07-03",0.276921715592075,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"128","2023-07-03",0.332508569668655,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"129","2023-07-04",0.266180086631943,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"130","2023-07-04",0.325955229212336,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"131","2023-07-05",0.278007990756973,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"132","2023-07-05",0.319851326401027,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"133","2023-07-06",0.225712605478409,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"134","2023-07-06",0.283440862722853,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"135","2023-07-07",0.242294704356004,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"136","2023-07-07",0.291558409158488,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"137","2023-07-08",0.247606368131776,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"138","2023-07-08",0.283375776557285,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"139","2023-07-09",0.247047422794346,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"140","2023-07-09",0.26671088984733,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"141","2023-07-10",0.260993579428403,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"142","2023-07-10",0.287099108087743,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"143","2023-07-11",0.274023611018667,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"144","2023-07-11",0.299699548650198,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"145","2023-07-12",0.259226862571354,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"146","2023-07-12",0.285474127856633,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"147","2023-07-13",0.256327517903768,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"148","2023-07-13",0.277143658768331,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"149","2023-07-14",0.27775120688661,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"150","2023-07-14",0.246974848722963,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"151","2023-07-15",0.289072239881882,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"152","2023-07-15",0.254312500022291,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"153","2023-07-16",0.278510759928714,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"154","2023-07-16",0.273418604803261,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"155","2023-07-17",0.278622210335837,"RAMP zone 3","bluewhale","Probability of presence",2023-11-13
"156","2023-07-17",0.267176402144366,"RAMP zone 4","bluewhale","Probability of presence",2023-11-13
"157","2023-07-18",0.264792097095884,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"158","2023-07-18",0.289045787872152,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"159","2023-07-19",0.263178183998992,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"160","2023-07-19",0.277995803303492,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"161","2023-07-20",0.255574626704821,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"162","2023-07-20",0.271623450366448,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"163","2023-07-21",0.265017828435495,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"164","2023-07-21",0.273827771313257,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"165","2023-07-22",0.275265477480271,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"166","2023-07-22",0.286474471335618,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"167","2023-07-23",0.278417633458841,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"168","2023-07-23",0.282301095901164,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"169","2023-07-24",0.276716322524175,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"170","2023-07-24",0.276368602000652,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"171","2023-07-25",0.285219614284787,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"172","2023-07-25",0.29114866894464,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"173","2023-07-26",0.287732825904596,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"174","2023-07-26",0.301291890710641,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"175","2023-07-27",0.290102843838787,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"176","2023-07-27",0.304876918744436,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"177","2023-07-28",0.295923060221976,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"178","2023-07-28",0.304687629293791,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"179","2023-07-29",0.308386491938091,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"180","2023-07-29",0.323127356091127,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"181","2023-07-30",0.319404468964433,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"182","2023-07-30",0.341194064449367,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"183","2023-07-31",0.324336231177647,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"184","2023-07-31",0.343511411301341,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"185","2023-08-01",0.326567283268985,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"186","2023-08-01",0.341836930345591,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"187","2023-08-02",0.330624786707071,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"188","2023-08-02",0.34995666435278,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"189","2023-08-03",0.327127937110045,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"190","2023-08-03",0.356402408423088,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"191","2023-08-04",0.331370787993355,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"192","2023-08-04",0.364001407365752,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"193","2023-08-05",0.340414031813905,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"194","2023-08-05",0.372540889170673,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"195","2023-08-06",0.34642879882872,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"196","2023-08-06",0.378731364265401,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"197","2023-08-07",0.343367193096222,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"198","2023-08-07",0.386034713939149,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"199","2023-08-08",0.348748127616294,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"200","2023-08-08",0.386614590785702,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"201","2023-08-09",0.335319892182702,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"202","2023-08-09",0.362183760491896,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"203","2023-08-10",0.336076818256255,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"204","2023-08-10",0.362494303715307,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"205","2023-08-11",0.348934682515951,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"206","2023-08-11",0.367046630860546,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"207","2023-08-12",0.366659658177653,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"208","2023-08-12",0.372363041665667,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"209","2023-08-13",0.350538997752369,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"210","2023-08-13",0.370778609622032,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"211","2023-08-14",0.360092991885517,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"212","2023-08-14",0.377612042349021,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"213","2023-08-15",0.313426488463169,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"214","2023-08-15",0.370789773225687,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"215","2023-08-16",0.317596760939003,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"216","2023-08-16",0.368072966043571,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"217","2023-08-17",0.329417546987909,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"218","2023-08-17",0.365205960156192,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"219","2023-08-18",0.333608917027599,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"220","2023-08-18",0.369338970454547,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"221","2023-08-19",0.34821267265352,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"222","2023-08-19",0.377559868493857,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"223","2023-08-20",0.349443853859793,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"224","2023-08-20",0.383289341499294,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"225","2023-08-21",0.357834418101088,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"226","2023-08-21",0.39781159583217,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"227","2023-08-22",0.35711841183758,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"228","2023-08-22",0.394484555589587,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"229","2023-08-23",0.359794616755591,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"230","2023-08-23",0.378215891176472,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"231","2023-08-24",0.371093764891766,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"232","2023-08-24",0.398388933896433,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"233","2023-08-25",0.369352415260421,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"234","2023-08-25",0.383136351850439,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"235","2023-08-26",0.37481086081056,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"236","2023-08-26",0.382666571209064,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"237","2023-08-27",0.372438268104162,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"238","2023-08-27",0.403731006610706,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"239","2023-08-28",0.384313554426685,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"240","2023-08-28",0.410178267550937,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"241","2023-08-29",0.389995133093221,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"242","2023-08-29",0.41377973246789,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"243","2023-08-30",0.379835422880112,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"244","2023-08-30",0.406888286837677,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"245","2023-08-31",0.381901831073689,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"246","2023-08-31",0.423017755370288,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"247","2023-09-01",0.378110177908915,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"248","2023-09-01",0.426083036462141,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"249","2023-09-02",0.387099398499705,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"250","2023-09-02",0.415859592063337,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"251","2023-09-03",0.359596174177426,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"252","2023-09-03",0.390477821377217,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"253","2023-09-04",0.363669425173936,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"254","2023-09-04",0.387403538496326,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"255","2023-09-05",0.385475703297843,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"256","2023-09-05",0.411155264086887,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"257","2023-09-06",0.405483928728675,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"258","2023-09-06",0.4210961519111,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"259","2023-09-07",0.399287862846484,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"260","2023-09-07",0.41307555968262,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"261","2023-09-08",0.401766708151239,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"262","2023-09-08",0.413460796744656,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"263","2023-09-09",0.39754613282213,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"264","2023-09-09",0.408982783238938,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"265","2023-09-10",0.404405770158632,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"266","2023-09-10",0.405172983016788,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"267","2023-09-11",0.404555752788862,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"268","2023-09-11",0.401788033776705,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"269","2023-09-12",0.39078951075504,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"270","2023-09-12",0.390269852552789,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"271","2023-09-13",0.400285878132977,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"272","2023-09-13",0.390535162313675,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"273","2023-09-14",0.404564720234384,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"274","2023-09-14",0.394690554119561,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"275","2023-09-15",0.404505694470595,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"276","2023-09-15",0.403164170060532,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"277","2023-09-16",0.405136013138114,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"278","2023-09-16",0.422587512679849,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"279","2023-09-17",0.401039706550134,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
"280","2023-09-17",0.407961691776976,"RAMP zone 4","bluewhale","Probability of presence",2023-11-14
"281","2023-09-18",0.393097833766688,"RAMP zone 3","bluewhale","Probability of presence",2023-11-14
