"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-12",2023-04-12,"2023-05-12",12
"2","ild","2023-05-12",2023-04-12,"2023-05-12",12
"3","ssh","2023-05-12",2023-04-12,"2023-05-12",12
"4","sst","2023-05-12",2023-04-12,"2023-05-12",12
"5","su","2023-05-12",2023-04-12,"2023-05-12",12
"6","sv","2023-05-12",2023-04-12,"2023-05-12",12
"7","sustr","2023-05-12",2023-04-12,"2023-05-12",12
"8","svstr","2023-05-12",2023-04-12,"2023-05-12",12
"9","sst_sd","2023-05-12",2023-04-12,"2023-05-12",12
"10","ssh_sd","2023-05-12",2023-04-12,"2023-05-12",12
"11","curl","2023-05-12",2023-04-12,"2023-05-12",12
