"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-16",2023-04-16,"2023-05-16",16
"2","ild","2023-05-16",2023-04-16,"2023-05-16",16
"3","ssh","2023-05-16",2023-04-16,"2023-05-16",16
"4","sst","2023-05-16",2023-04-16,"2023-05-16",16
"5","su","2023-05-16",2023-04-16,"2023-05-16",16
"6","sv","2023-05-16",2023-04-16,"2023-05-16",16
"7","sustr","2023-05-16",2023-04-16,"2023-05-16",16
"8","svstr","2023-05-16",2023-04-16,"2023-05-16",16
"9","sst_sd","2023-05-16",2023-04-16,"2023-05-16",16
"10","ssh_sd","2023-05-16",2023-04-16,"2023-05-16",16
"11","curl","2023-05-16",2023-04-16,"2023-05-16",16
