"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-07",2023-04-07,"2023-05-07",7
"2","ild","2023-05-07",2023-04-07,"2023-05-07",7
"3","ssh","2023-05-07",2023-04-07,"2023-05-07",7
"4","sst","2023-05-07",2023-04-07,"2023-05-07",7
"5","su","2023-05-07",2023-04-07,"2023-05-07",7
"6","sv","2023-05-07",2023-04-07,"2023-05-07",7
"7","sustr","2023-05-07",2023-04-07,"2023-05-07",7
"8","svstr","2023-05-07",2023-04-07,"2023-05-07",7
"9","sst_sd","2023-05-07",2023-04-07,"2023-05-07",7
"10","ssh_sd","2023-05-07",2023-04-07,"2023-05-07",7
"11","curl","2023-05-07",2023-04-07,"2023-05-07",7
