"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-02",2023-04-02,"2023-05-02",2
"2","ild","2023-05-02",2023-04-02,"2023-05-02",2
"3","ssh","2023-05-02",2023-04-02,"2023-05-02",2
"4","sst","2023-05-02",2023-04-02,"2023-05-02",2
"5","su","2023-05-02",2023-04-02,"2023-05-02",2
"6","sv","2023-05-02",2023-04-02,"2023-05-02",2
"7","sustr","2023-05-02",2023-04-02,"2023-05-02",2
"8","svstr","2023-05-02",2023-04-02,"2023-05-02",2
"9","sst_sd","2023-05-02",2023-04-02,"2023-05-02",2
"10","ssh_sd","2023-05-02",2023-04-02,"2023-05-02",2
"11","curl","2023-05-02",2023-04-02,"2023-05-02",2
