"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-15",2023-04-15,"2023-05-15",15
"2","ild","2023-05-15",2023-04-15,"2023-05-15",15
"3","ssh","2023-05-15",2023-04-15,"2023-05-15",15
"4","sst","2023-05-15",2023-04-15,"2023-05-15",15
"5","su","2023-05-15",2023-04-15,"2023-05-15",15
"6","sv","2023-05-15",2023-04-15,"2023-05-15",15
"7","sustr","2023-05-15",2023-04-15,"2023-05-15",15
"8","svstr","2023-05-15",2023-04-15,"2023-05-15",15
"9","sst_sd","2023-05-15",2023-04-15,"2023-05-15",15
"10","ssh_sd","2023-05-15",2023-04-15,"2023-05-15",15
"11","curl","2023-05-15",2023-04-15,"2023-05-15",15
