"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-26",2023-04-26,"2023-05-26",26
"2","ild","2023-05-26",2023-04-26,"2023-05-26",26
"3","ssh","2023-05-26",2023-04-26,"2023-05-26",26
"4","sst","2023-05-26",2023-04-26,"2023-05-26",26
"5","su","2023-05-26",2023-04-26,"2023-05-26",26
"6","sv","2023-05-26",2023-04-26,"2023-05-26",26
"7","sustr","2023-05-26",2023-04-26,"2023-05-26",26
"8","svstr","2023-05-26",2023-04-26,"2023-05-26",26
"9","sst_sd","2023-05-26",2023-04-26,"2023-05-26",26
"10","ssh_sd","2023-05-26",2023-04-26,"2023-05-26",26
"11","curl","2023-05-26",2023-04-26,"2023-05-26",26
