"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-17",2023-04-17,"2023-05-17",17
"2","ild","2023-05-17",2023-04-17,"2023-05-17",17
"3","ssh","2023-05-17",2023-04-17,"2023-05-17",17
"4","sst","2023-05-17",2023-04-17,"2023-05-17",17
"5","su","2023-05-17",2023-04-17,"2023-05-17",17
"6","sv","2023-05-17",2023-04-17,"2023-05-17",17
"7","sustr","2023-05-17",2023-04-17,"2023-05-17",17
"8","svstr","2023-05-17",2023-04-17,"2023-05-17",17
"9","sst_sd","2023-05-17",2023-04-17,"2023-05-17",17
"10","ssh_sd","2023-05-17",2023-04-17,"2023-05-17",17
"11","curl","2023-05-17",2023-04-17,"2023-05-17",17
