"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-05",2023-04-05,"2023-05-05",5
"2","ild","2023-05-05",2023-04-05,"2023-05-05",5
"3","ssh","2023-05-05",2023-04-05,"2023-05-05",5
"4","sst","2023-05-05",2023-04-05,"2023-05-05",5
"5","su","2023-05-05",2023-04-05,"2023-05-05",5
"6","sv","2023-05-05",2023-04-05,"2023-05-05",5
"7","sustr","2023-05-05",2023-04-05,"2023-05-05",5
"8","svstr","2023-05-05",2023-04-05,"2023-05-05",5
"9","sst_sd","2023-05-05",2023-04-05,"2023-05-05",5
"10","ssh_sd","2023-05-05",2023-04-05,"2023-05-05",5
"11","curl","2023-05-05",2023-04-05,"2023-05-05",5
