"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-25",2023-03-26,"2023-04-25",23
"2","ild","2023-04-25",2023-03-26,"2023-04-25",23
"3","ssh","2023-04-25",2023-03-26,"2023-04-25",22
"4","sst","2023-04-25",2023-03-26,"2023-04-25",23
"5","su","2023-04-25",2023-03-26,"2023-04-25",22
"6","sv","2023-04-25",2023-03-26,"2023-04-25",22
"7","sustr","2023-04-25",2023-03-26,"2023-04-25",22
"8","svstr","2023-04-25",2023-03-26,"2023-04-25",22
"9","sst_sd","2023-04-25",2023-03-26,"2023-04-25",23
"10","ssh_sd","2023-04-25",2023-03-26,"2023-04-25",22
"11","curl","2023-04-25",2023-03-26,"2023-04-25",23
