"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-10",2023-04-10,"2023-05-10",10
"2","ild","2023-05-10",2023-04-10,"2023-05-10",10
"3","ssh","2023-05-10",2023-04-10,"2023-05-10",10
"4","sst","2023-05-10",2023-04-10,"2023-05-10",10
"5","su","2023-05-10",2023-04-10,"2023-05-10",10
"6","sv","2023-05-10",2023-04-10,"2023-05-10",10
"7","sustr","2023-05-10",2023-04-10,"2023-05-10",10
"8","svstr","2023-05-10",2023-04-10,"2023-05-10",10
"9","sst_sd","2023-05-10",2023-04-10,"2023-05-10",10
"10","ssh_sd","2023-05-10",2023-04-10,"2023-05-10",10
"11","curl","2023-05-10",2023-04-10,"2023-05-10",10
