"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-06",2023-04-06,"2023-05-06",6
"2","ild","2023-05-06",2023-04-06,"2023-05-06",6
"3","ssh","2023-05-06",2023-04-06,"2023-05-06",6
"4","sst","2023-05-06",2023-04-06,"2023-05-06",6
"5","su","2023-05-06",2023-04-06,"2023-05-06",6
"6","sv","2023-05-06",2023-04-06,"2023-05-06",6
"7","sustr","2023-05-06",2023-04-06,"2023-05-06",6
"8","svstr","2023-05-06",2023-04-06,"2023-05-06",6
"9","sst_sd","2023-05-06",2023-04-06,"2023-05-06",6
"10","ssh_sd","2023-05-06",2023-04-06,"2023-05-06",6
"11","curl","2023-05-06",2023-04-06,"2023-05-06",6
