"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-11",2023-04-11,"2023-05-11",11
"2","ild","2023-05-11",2023-04-11,"2023-05-11",11
"3","ssh","2023-05-11",2023-04-11,"2023-05-11",11
"4","sst","2023-05-11",2023-04-11,"2023-05-11",11
"5","su","2023-05-11",2023-04-11,"2023-05-11",11
"6","sv","2023-05-11",2023-04-11,"2023-05-11",11
"7","sustr","2023-05-11",2023-04-11,"2023-05-11",11
"8","svstr","2023-05-11",2023-04-11,"2023-05-11",11
"9","sst_sd","2023-05-11",2023-04-11,"2023-05-11",11
"10","ssh_sd","2023-05-11",2023-04-11,"2023-05-11",11
"11","curl","2023-05-11",2023-04-11,"2023-05-11",11
