"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-03",2023-04-03,"2023-05-03",3
"2","ild","2023-05-03",2023-04-03,"2023-05-03",3
"3","ssh","2023-05-03",2023-04-03,"2023-05-03",3
"4","sst","2023-05-03",2023-04-03,"2023-05-03",3
"5","su","2023-05-03",2023-04-03,"2023-05-03",3
"6","sv","2023-05-03",2023-04-03,"2023-05-03",3
"7","sustr","2023-05-03",2023-04-03,"2023-05-03",3
"8","svstr","2023-05-03",2023-04-03,"2023-05-03",3
"9","sst_sd","2023-05-03",2023-04-03,"2023-05-03",3
"10","ssh_sd","2023-05-03",2023-04-03,"2023-05-03",3
"11","curl","2023-05-03",2023-04-03,"2023-05-03",3
