"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-16",2023-03-17,"2023-04-16",29
"2","ild","2023-04-16",2023-03-17,"2023-04-16",29
"3","ssh","2023-04-16",2023-03-17,"2023-04-16",29
"4","sst","2023-04-16",2023-03-17,"2023-04-16",29
"5","su","2023-04-16",2023-03-17,"2023-04-16",29
"6","sv","2023-04-16",2023-03-17,"2023-04-16",29
"7","sustr","2023-04-16",2023-03-17,"2023-04-16",29
"8","svstr","2023-04-16",2023-03-17,"2023-04-16",29
"9","sst_sd","2023-04-16",2023-03-17,"2023-04-16",29
"10","ssh_sd","2023-04-16",2023-03-17,"2023-04-16",29
"11","curl","2023-04-16",2023-03-17,"2023-04-16",29
