"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-14",2023-04-14,"2023-05-14",14
"2","ild","2023-05-14",2023-04-14,"2023-05-14",14
"3","ssh","2023-05-14",2023-04-14,"2023-05-14",14
"4","sst","2023-05-14",2023-04-14,"2023-05-14",14
"5","su","2023-05-14",2023-04-14,"2023-05-14",14
"6","sv","2023-05-14",2023-04-14,"2023-05-14",14
"7","sustr","2023-05-14",2023-04-14,"2023-05-14",14
"8","svstr","2023-05-14",2023-04-14,"2023-05-14",14
"9","sst_sd","2023-05-14",2023-04-14,"2023-05-14",14
"10","ssh_sd","2023-05-14",2023-04-14,"2023-05-14",14
"11","curl","2023-05-14",2023-04-14,"2023-05-14",14
