"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-13",2023-04-13,"2023-05-13",13
"2","ild","2023-05-13",2023-04-13,"2023-05-13",13
"3","ssh","2023-05-13",2023-04-13,"2023-05-13",13
"4","sst","2023-05-13",2023-04-13,"2023-05-13",13
"5","su","2023-05-13",2023-04-13,"2023-05-13",13
"6","sv","2023-05-13",2023-04-13,"2023-05-13",13
"7","sustr","2023-05-13",2023-04-13,"2023-05-13",13
"8","svstr","2023-05-13",2023-04-13,"2023-05-13",13
"9","sst_sd","2023-05-13",2023-04-13,"2023-05-13",13
"10","ssh_sd","2023-05-13",2023-04-13,"2023-05-13",13
"11","curl","2023-05-13",2023-04-13,"2023-05-13",13
