"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-27",2023-04-27,"2023-05-27",27
"2","ild","2023-05-27",2023-04-27,"2023-05-27",27
"3","ssh","2023-05-27",2023-04-27,"2023-05-27",27
"4","sst","2023-05-27",2023-04-27,"2023-05-27",27
"5","su","2023-05-27",2023-04-27,"2023-05-27",27
"6","sv","2023-05-27",2023-04-27,"2023-05-27",27
"7","sustr","2023-05-27",2023-04-27,"2023-05-27",27
"8","svstr","2023-05-27",2023-04-27,"2023-05-27",27
"9","sst_sd","2023-05-27",2023-04-27,"2023-05-27",27
"10","ssh_sd","2023-05-27",2023-04-27,"2023-05-27",27
"11","curl","2023-05-27",2023-04-27,"2023-05-27",27
