"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-04-27",2023-03-28,"2023-04-27",21
"2","ild","2023-04-27",2023-03-28,"2023-04-27",21
"3","ssh","2023-04-27",2023-03-28,"2023-04-27",21
"4","sst","2023-04-27",2023-03-28,"2023-04-27",21
"5","su","2023-04-27",2023-03-28,"2023-04-27",21
"6","sv","2023-04-27",2023-03-28,"2023-04-27",21
"7","sustr","2023-04-27",2023-03-28,"2023-04-27",21
"8","svstr","2023-04-27",2023-03-28,"2023-04-27",21
"9","sst_sd","2023-04-27",2023-03-28,"2023-04-27",21
"10","ssh_sd","2023-04-27",2023-03-28,"2023-04-27",21
"11","curl","2023-04-27",2023-03-28,"2023-04-27",21
