"","var","prediction_date","average_start","average_end","n_days_w_data"
"1","bv","2023-05-18",2023-04-18,"2023-05-18",18
"2","ild","2023-05-18",2023-04-18,"2023-05-18",18
"3","ssh","2023-05-18",2023-04-18,"2023-05-18",18
"4","sst","2023-05-18",2023-04-18,"2023-05-18",18
"5","su","2023-05-18",2023-04-18,"2023-05-18",18
"6","sv","2023-05-18",2023-04-18,"2023-05-18",18
"7","sustr","2023-05-18",2023-04-18,"2023-05-18",18
"8","svstr","2023-05-18",2023-04-18,"2023-05-18",18
"9","sst_sd","2023-05-18",2023-04-18,"2023-05-18",18
"10","ssh_sd","2023-05-18",2023-04-18,"2023-05-18",18
"11","curl","2023-05-18",2023-04-18,"2023-05-18",18
